SampleID,GroupLevel2,GroupLevel2_mapped,train,ProjectID
PA22010263-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010264-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010265-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010266-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010267-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010268-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010270-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010271-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010272-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010275-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010278-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010279-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010280-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010282-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010284-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010287-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010292-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010298-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010300-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010301-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010302-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010305-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010319-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010321-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010323-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010324-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010325-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010326-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010327-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010329-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010331-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010332-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010333-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010334-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010336-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010337-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010341-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010343-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010346-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010352-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010359-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010360-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010362-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010364-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010365-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010367-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010369-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010370-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010371-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010372-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA220C0783-K1CHH22KXF2-KBN9KZ37,Gastro,Endoscopy,valid,KZ37
PA220E0527-K1CHH22GXF2-R02N,Liver_Biliary,Abdominal,valid,KZ37
PA220E0527-K1CHH22KXF3-KZ37,Liver_Biliary,Abdominal,valid,KZ37
PA220K0604-K1CHH22NXF2-KZ37,Sarcoma,SoftTissue,train,KZ37
PA220M0838-K1CHH22KXF2-KZ37,Kidney,Abdominal,valid,KZ37
PA220R0670-K1CHH22NXF2-KZ37,Ovary,Abdominal,valid,KZ37
PA220T0760-K1CHH22NXF3-KZ37,Ovary,Abdominal,valid,KZ37
PA220V0294-K1CHH22GXF2-KZ37,Liver_Biliary,Abdominal,train,KZ37
PA22160449-C7CHH22KXF3-KZ41,Lymphoma,Blood,train,KZ41
PA22170447-J1CHH22NXF2-KB3VY00D,Colorectal,Endoscopy,valid,KB3V
PA22190097-C7CHH22KXF3-KZ37,Lung,LungImg,train,KZ37
PA221A0290-K1CHH22GXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA221A0318-K1CHH22GXF3-KZ37,Esophagus,Endoscopy,valid,KZ37
PA221D0432-C7CHH22GXF2-KZ41,Lymphoma,Blood,train,KZ41
PA221J0082-C7CHH22KXF3-KZ37,Liver_Biliary,Abdominal,train,KZ37
PA221J0082-J1CHH22KXF4-R007,Liver_Biliary,Abdominal,train,20240613_plasma_preserve_time_test
PA221K0064-C7CHH22KXF2-KZ37,Breast,BreastImg,valid,KZ37
PA221K0288-J1CHH22NXF2-KB3VY00D,Colorectal,Endoscopy,valid,KB3V
PA221L0563-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0565-J1CHH22GXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0569-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0573-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0575-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0577-J1CHH22GXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0579-J1CHH22GXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0581-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0583-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0585-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0587-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0589-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0595-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0597-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0599-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0603-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0605-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0607-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0611-J1CHH22GXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0613-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0615-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0617-J1CHH22GXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0623-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0625-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0627-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0631-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0633-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0635-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0637-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0641-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0643-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0645-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0647-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0707-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0709-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0711-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0713-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0715-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0717-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0721-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0723-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0725-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0729-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0731-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0733-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0735-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0737-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0739-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0741-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0743-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0745-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0747-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0749-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0751-J1CHH22GXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0753-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0755-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0757-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0759-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0761-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0763-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0765-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0767-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0771-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0773-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0775-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0781-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0783-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0787-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0789-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0791-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0793-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0797-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0799-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0801-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0803-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0805-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0807-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0809-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0811-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0813-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0815-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0817-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0819-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0821-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0823-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0825-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0827-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0829-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0831-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0833-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0835-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0837-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0839-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0841-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0843-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0845-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0847-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0849-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0851-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0853-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0855-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0857-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0859-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0861-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0863-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0865-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0867-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0931-J1CHH22GXF2-KB8YY00D,Colorectal,Endoscopy,valid,KB8Y
PA221L0933-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221L0935-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0939-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0941-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0943-J1CHH22GXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0945-J1CHH22GXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221L0947-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221M0347-K1CHH22GXF2-KB3VY00D,Colorectal,Endoscopy,valid,KB3V
PA221N0426-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0432-J1CHH22KXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221N0438-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0444-J1CHH22GXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0446-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0448-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0452-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0466-J1CHH22NXF3-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0480-J1CHH22NXF3-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0484-J1CHH22KXF3-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0490-J1CHH22GXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0494-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0526-J1CHH22NXFX-KBA6Y00D,Lung,LungImg,train,KBA6
PA221N0534-J1CHH22NXF2-KBA6Y00D,Lung,LungImg,train,KBA6
PA221N0542-J1CHH22GXF2-KBA6Y00D,Lung,LungImg,train,KBA6
PA221N0546-J1CHH22NXF2-KBA6Y00D,Lung,LungImg,valid,KBA6
PA221N0550-J1CHH22GXF2-KBA6Y00D,Lung,LungImg,valid,KBA6
PA221N0556-J1CHH22NXF2-KBA6Y00D,Lung,LungImg,valid,KBA6
PA221N0560-J1CHH22GXF2-KBA6Y00D,Lung,LungImg,valid,KBA6
PA221N0562-J1CHH22GXF2-KBA6Y00D,Lung,LungImg,valid,KBA6
PA221N0568-J1CHH22GXF2-KBA6Y00D,Lung,LungImg,valid,KBA6
PA221N0625-J1CHH22GXF2-KBA6Y00D,Lung,LungImg,valid,KBA6
PA221N0655-J1CHH22GXF2-KBA6Y00D,Lung,LungImg,valid,KBA6
PA221N0699-J1CHH22GXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221N0701-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0703-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0705-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0707-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0709-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221N0711-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0713-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0715-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0719-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0721-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0723-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221N0725-J1CHH22NXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221N0729-J1CHH22GXF2-KB8YY00D,Lung,LungImg,train,KB8Y
PA221N0731-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0735-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0737-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0739-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0741-J1CHH22KXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221N0743-J1CHH22NXF2-KB8YY00D,Lung,LungImg,valid,KB8Y
PA221P0070-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0076-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0078-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0082-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0084-J1CHH22NXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0090-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0092-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0096-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0100-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0106-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0108-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0110-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0112-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0116-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0120-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0122-J1CHH22GXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0124-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
PA221P0132-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,train,KBA5
PA221P0134-J1CHH22KXF2-KBA5Y00D,Lung,LungImg,valid,KBA5
